Division;Ponderacion;Glosa;Indice;Variación Mensual;Variación Acumulada;Variacion a 12 meses;Incidencia Mensual;Incidencia Acumulada;Incidencia a 12 meses
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.2135;CHOCOLATE;120.22;1;8.5;8.5;0.002;0.019;0.019
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.35203;HELADOS;130.21;-0.2;4.3;4.3;-0.001;0.017;0.017
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.02541;SAL;116.69;-0.1;4.7;4.7;0;0.001;0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.10965;HIERBAS. ESPECIAS Y CONDIMENTOS;131.5;1.7;-4;-4;0.002;-0.006;-0.006
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.10034;SALSAS;103.1;-1.5;-1;-1;-0.001;-0.001;-0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.13717;ADEREZOS;112.91;2.6;6.4;6.4;0.003;0.009;0.009
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.05032;SOPAS Y CREMAS;116.1;-0.3;-0.5;-0.5;0;0;0
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.08315;ALIMENTOS PARA BEBE;118.45;-0.5;4.8;4.8;0;0.004;0.004
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.0385;POSTRES NO LACTEOS;122.52;-0.5;2.5;2.5;0;0.001;0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.14829;CAFE;121.54;0.3;1.1;1.1;0;0.002;0.002
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.15966;TE;118.02;0.9;1.7;1.7;0.002;0.003;0.003
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.04701;SABORIZANTE PARA LECHE;134.69;-0.2;4.5;4.5;0;0.003;0.003
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.12198;AGUA EMBOTELLADA;116.08;-0.3;5.8;5.8;0;0.007;0.007
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;1.48105;BEBIDAS GASEOSAS;113.3;0.8;2;2;0.012;0.03;0.03
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.28116;JUGOS LIQUIDOS;119.41;0.2;4.8;4.8;0;0.014;0.014
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.12545;JUGOS EN POLVO;108.57;-1.3;-0.9;-0.9;-0.002;-0.001;-0.001
BEBIDAS ALCOHOLICAS Y TABACO;0.14709;PISCO;128.81;2.3;13.5;13.5;0.004;0.021;0.021
BEBIDAS ALCOHOLICAS Y TABACO;0.1194;RON;102.17;0.4;2.7;2.7;0;0.003;0.003
BEBIDAS ALCOHOLICAS Y TABACO;0.05107;WHISKY;109.08;-0.5;5.3;5.3;0;0.003;0.003
BEBIDAS ALCOHOLICAS Y TABACO;0.05662;VINO BLANCO;120.01;-1.6;-3.8;-3.8;-0.001;-0.002;-0.002
BEBIDAS ALCOHOLICAS Y TABACO;0.29004;VINO TINTO;122.66;-0.4;0.2;0.2;-0.001;0.001;0.001
BEBIDAS ALCOHOLICAS Y TABACO;0.02501;VINO ESPUMOSO;131.9;-1.2;2.9;2.9;0;0.001;0.001
BEBIDAS ALCOHOLICAS Y TABACO;0.35812;CERVEZA;114.9;-1.8;3.3;3.3;-0.007;0.012;0.012
BEBIDAS ALCOHOLICAS Y TABACO;0.9537;CIGARRILLOS;175.42;0.7;14.2;14.2;0.01;0.191;0.191
VESTUARIO Y CALZADO;0.04171;TELAS PARA CONFECCION DE VESTUARIO;104.27;-0.2;1.2;1.2;0;0;0
VESTUARIO Y CALZADO;0.40102;ROPA DE ABRIGO PARA HOMBRE;42.92;-1.8;-11.6;-11.6;-0.003;-0.021;-0.021
VESTUARIO Y CALZADO;0.2768;PANTALON Y SHORT PARA HOMBRE;87.2;-0.5;0;0;-0.001;0;0
VESTUARIO Y CALZADO;0.19224;CAMISA Y POLERA PARA HOMBRE;57.73;-1.2;-16.6;-16.6;-0.001;-0.02;-0.02
VESTUARIO Y CALZADO;0.04074;TRAJE PARA HOMBRE;73.87;-2.4;-7.6;-7.6;-0.001;-0.002;-0.002
VESTUARIO Y CALZADO;0.04717;ROPA DEPORTIVA PARA HOMBRE;51.42;-1.2;-3.9;-3.9;0;-0.001;-0.001
VESTUARIO Y CALZADO;0.11008;ROPA INTERIOR Y DE DORMIR PARA HOMBRE;88.66;0.7;1.4;1.4;0.001;0.001;0.001
VESTUARIO Y CALZADO;0.38224;ROPA DE ABRIGO PARA MUJER;35.31;-1.1;-18.3;-18.3;-0.001;-0.028;-0.028
VESTUARIO Y CALZADO;0.41255;PANTALON Y FALDA PARA MUJER;49.91;-0.6;-10.2;-10.2;-0.001;-0.022;-0.022
VESTUARIO Y CALZADO;0.2887;BLUSA Y POLERA PARA MUJER;38.86;-0.8;-17;-17;-0.001;-0.021;-0.021
VESTUARIO Y CALZADO;0.08918;CONJUNTO PARA MUJER;62.62;0;-1;-1;0;-0.001;-0.001
VESTUARIO Y CALZADO;0.07208;ROPA DEPORTIVA PARA MUJER;56.64;-0.2;-0.3;-0.3;0;0;0
VESTUARIO Y CALZADO;0.28296;ROPA INTERIOR Y DE DORMIR PARA MUJER;82.06;-0.3;-0.8;-0.8;-0.001;-0.002;-0.002
VESTUARIO Y CALZADO;0.09391;ROPA DE ABRIGO PARA NIÑO;37.83;1;-16.5;-16.5;0;-0.006;-0.006
VESTUARIO Y CALZADO;0.06208;ROPA DE ABRIGO PARA NIÑA;32.09;0.7;-10.2;-10.2;0;-0.002;-0.002
VESTUARIO Y CALZADO;0.07136;PANTALON Y SHORT PARA NIÑO;63.25;0.5;-5.8;-5.8;0;-0.003;-0.003
VESTUARIO Y CALZADO;0.06506;PANTALON. FALDA Y SHORT PARA NIÑA;54.97;0.5;-11.9;-11.9;0;-0.004;-0.004
VESTUARIO Y CALZADO;0.05328;POLERA PARA NIÑO;70.04;2;1.1;1.1;0.001;0;0
VESTUARIO Y CALZADO;0.04321;POLERA PARA NIÑA;56.71;2.2;-11.8;-11.8;0;-0.003;-0.003
VESTUARIO Y CALZADO;0.03904;VESTIDO PARA NIÑA;57.95;-3;-12.6;-12.6;-0.001;-0.003;-0.003
VESTUARIO Y CALZADO;0.0471;ROPA DEPORTIVA PARA NIÑO;34.77;-2.8;0.8;0.8;0;0;0
VESTUARIO Y CALZADO;0.03708;ROPA DEPORTIVA PARA NIÑA;21.59;0.8;-13.4;-13.4;0;-0.001;-0.001
VESTUARIO Y CALZADO;0.04844;ROPA INTERIOR Y DE DORMIR PARA NIÑO;74.68;-0.9;-4.3;-4.3;0;-0.002;-0.002
VESTUARIO Y CALZADO;0.05193;ROPA INTERIOR Y DE DORMIR PARA NIÑA;76.93;-0.2;-1.2;-1.2;0;0;0
VESTUARIO Y CALZADO;0.02145;ROPA DE ABRIGO PARA LACTANTE;48.77;-0.5;-7.9;-7.9;0;-0.001;-0.001
VESTUARIO Y CALZADO;0.0407;CONJUNTO PARA LACTANTE;56.29;-0.2;-10.4;-10.4;0;-0.002;-0.002
VESTUARIO Y CALZADO;0.02305;ROPA INTERIOR Y DE DORMIR PARA LACTANTE;77.04;-0.2;-5.7;-5.7;0;-0.001;-0.001
VESTUARIO Y CALZADO;0.06956;UNIFORME ESCOLAR FEMENINO;117.76;0;2.7;2.7;0;0.002;0.002
VESTUARIO Y CALZADO;0.0649;UNIFORME ESCOLAR MASCULINO;117.86;0;2;2;0;0.001;0.001
VESTUARIO Y CALZADO;0.02701;ROPA DEPORTIVA ESCOLAR;125.94;0;3.3;3.3;0;0.001;0.001
VESTUARIO Y CALZADO;0.0526;ARTICULOS PARA REPARACION DE VESTUARIO;112.17;0.1;1.8;1.8;0;0.001;0.001
VESTUARIO Y CALZADO;0.1003;ACCESORIOS DE VESTIR;90.72;-0.7;-3;-3;-0.001;-0.003;-0.003
VESTUARIO Y CALZADO;0.03188;SERVICIO DE LIMPIEZA DE PRENDAS DE VESTIR;134.03;0.3;7.1;7.1;0;0.003;0.003
VESTUARIO Y CALZADO;0.04637;SERVICIO DE REPARACION DE PRENDAS DE VESTIR;139.43;0.5;15.8;15.8;0;0.008;0.008
VESTUARIO Y CALZADO;0.13821;ZAPATILLAS PARA HOMBRE;59.03;-1.8;-10.6;-10.6;-0.001;-0.009;-0.009
VESTUARIO Y CALZADO;0.19511;ZAPATOS PARA HOMBRE;37.62;-2.2;-19.8;-19.8;-0.001;-0.017;-0.017
VESTUARIO Y CALZADO;0.02914;CALZADO DE ESTACION PARA HOMBRE;63.48;-1.7;-6.2;-6.2;0;-0.001;-0.001
VESTUARIO Y CALZADO;0.11524;ZAPATILLAS PARA MUJER;62.42;0.1;-2.1;-2.1;0;-0.001;-0.001
VESTUARIO Y CALZADO;0.26767;ZAPATOS PARA MUJER;32.13;1.1;-10.9;-10.9;0.001;-0.01;-0.01
VESTUARIO Y CALZADO;0.22363;CALZADO DE ESTACION PARA MUJER;68.35;-0.8;-3.5;-3.5;-0.001;-0.005;-0.005
VESTUARIO Y CALZADO;0.06763;CALZADO PARA NIÑO;57.46;-1;-11.6;-11.6;0;-0.005;-0.005
VESTUARIO Y CALZADO;0.06736;CALZADO PARA NIÑA;54.6;-0.2;-10.6;-10.6;0;-0.004;-0.004
VESTUARIO Y CALZADO;0.25081;CALZADO SPORT PARA NIÑO;37.12;-1.9;-22.5;-22.5;-0.002;-0.025;-0.025
VESTUARIO Y CALZADO;0.10038;CALZADO SPORT PARA NIÑA;32.8;-1.6;-17.1;-17.1;0;-0.006;-0.006
VESTUARIO Y CALZADO;0.02746;SERVICIO DE REPARACION DE CALZADO;143.96;0.8;9.2;9.2;0;0.003;0.003
VIVIENDA Y SERVICIOS BÁSICOS;3.87235;ARRIENDO;114.94;0.5;4.3;4.3;0.02;0.167;0.167
VIVIENDA Y SERVICIOS BÁSICOS;0.02113;MATERIALES DIVERSOS PARA LA REPARACION DE LA VIVIENDA;114.46;2.2;10.2;10.2;0;0.002;0.002
VIVIENDA Y SERVICIOS BÁSICOS;0.1631;PINTURA PARA LA VIVIENDA;130.15;0.3;16.7;16.7;0.001;0.028;0.028
VIVIENDA Y SERVICIOS BÁSICOS;0.09169;ARTICULOS PARA GRIFERIA;101.05;-0.3;2.2;2.2;0;0.002;0.002
VIVIENDA Y SERVICIOS BÁSICOS;0.03558;SELLANTES Y PEGAMENTOS;102.73;2.4;-1.1;-1.1;0.001;0;0
VIVIENDA Y SERVICIOS BÁSICOS;1.57053;SERVICIO DE MANTENCION DE LA VIVIENDA;147.97;1.2;10;10;0.025;0.195;0.195
VIVIENDA Y SERVICIOS BÁSICOS;1.88254;AGUA POTABLE;114.51;0;4.4;4.4;0;0.084;0.084
VIVIENDA Y SERVICIOS BÁSICOS;0.21977;SERVICIO DE RETIRO DE BASURA;117.69;0;4.9;4.9;0;0.011;0.011
VIVIENDA Y SERVICIOS BÁSICOS;0.23354;SERVICIO DE ALARMA PARA LA VIVIENDA;112.77;0.1;2;2;0;0.005;0.005
VIVIENDA Y SERVICIOS BÁSICOS;2.73565;ELECTRICIDAD;79.59;-0.7;1.8;1.8;-0.015;0.035;0.035
VIVIENDA Y SERVICIOS BÁSICOS;0.89884;GAS POR RED;104.21;0;-5.7;-5.7;0;-0.052;-0.052
VIVIENDA Y SERVICIOS BÁSICOS;1.19391;GAS LICUADO;156.5;10;11.5;11.5;0.152;0.178;0.178
VIVIENDA Y SERVICIOS BÁSICOS;0.12047;CARBON;125.86;0.6;1.4;1.4;0.001;0.002;0.002
VIVIENDA Y SERVICIOS BÁSICOS;0.17927;PARAFINA;154.37;4.6;8.7;8.7;0.011;0.02;0.02
VIVIENDA Y SERVICIOS BÁSICOS;0.04819;LEÑA;105.23;1.5;0;0;0.001;0;0
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.5098;CAMA;98.41;-1.2;-2.4;-2.4;-0.005;-0.011;-0.011
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.08926;COLCHON;106.18;-0.2;-3;-3;0;-0.003;-0.003
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.02626;CUNA;80.99;-1;-3.2;-3.2;0;-0.001;-0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.03555;ESCRITORIO;106.18;1.3;-0.4;-0.4;0;0;0
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.24702;JUEGO DE COMEDOR;82.03;-0.4;-3.4;-3.4;-0.001;-0.007;-0.007
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05103;MUEBLES PARA COCINA;114.52;2.9;1.2;1.2;0.001;0.001;0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.17161;MUEBLES MODULARES Y RACKS TV;92.92;-0.9;-3.2;-3.2;-0.001;-0.005;-0.005
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.30592;SOFA Y SITIAL;95.24;0.7;2.3;2.3;0.002;0.006;0.006
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.0715;ALFOMBRA;46.66;-3.3;-13.3;-13.3;-0.001;-0.005;-0.005
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.04252;LAMPARAS PARA EL HOGAR;83.74;0.9;-5.4;-5.4;0;-0.002;-0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.16598;ARTICULOS ORNAMENTALES PARA EL HOGAR;68.05;1.4;-6;-6;0.001;-0.007;-0.007
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.03825;SERVICIO DE REPARACION DE MUEBLES;142.89;1.7;8.1;8.1;0.001;0.004;0.004
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.02107;SERVICIO DE LIMPIEZA DE ALFOMBRAS;126.41;0.3;6.8;6.8;0;0.002;0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.15878;TEXTILES PARA CAMA;79.04;-0.4;-5.2;-5.2;0;-0.006;-0.006
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.09001;TEXTILES PARA BAÑO Y COCINA;96.31;-0.5;2.4;2.4;0;0.002;0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.07606;TEXTILES PARA LIVING Y COMEDOR;86.64;0.9;6.5;6.5;0.001;0.004;0.004
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.03296;ASPIRADORA;91.59;-0.4;-1.3;-1.3;0;0;0
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05104;CALEFON;92.84;0.6;-1.5;-1.5;0;-0.001;-0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.14902;COCINA;86.27;-0.9;-7.3;-7.3;-0.001;-0.009;-0.009
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.1427;ARTICULOS PARA CALEFACCION Y CLIMATIZACION DEL HOGAR;94.92;-0.1;1.4;1.4;0;0.002;0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.06883;HORNO MICROONDAS;89.56;0.3;-2.1;-2.1;0;-0.001;-0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.36045;LAVADORA;69.46;-1.5;-12.8;-12.8;-0.004;-0.034;-0.034
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.29876;REFRIGERADOR;82.02;-1.7;-5.3;-5.3;-0.004;-0.013;-0.013
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.07814;ELECTRODOMESTICOS PEQUEÑOS DE COCINA;81.11;-0.1;-0.8;-0.8;0;0;0
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.06954;PLANCHA;85.41;0.2;-4.8;-4.8;0;-0.003;-0.003
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.08006;PROCESADOR DE ALIMENTOS;100.13;0.3;-1;-1;0;-0.001;-0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05298;SERVICIO DE REPARACION DE LINEA BLANCA Y ELECTRODOMESTICOS;113.34;0.3;0.8;0.8;0;0;0
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.02513;CUBIERTOS;80.53;-3;-12.5;-12.5;-0.001;-0.003;-0.003
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.09649;JUEGO DE LOZA;70.52;-0.2;-5;-5;0;-0.003;-0.003
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.04524;JUEGO DE VASOS;94.33;1;-3.5;-3.5;0;-0.001;-0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.0419;OLLA Y SARTEN;90.77;-1.4;-2.2;-2.2;0;-0.001;-0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.06793;UTENSILIOS DE COCINA;110.29;-0.5;-0.3;-0.3;0;0;0
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.06664;HERRAMIENTAS ELECTRICAS;91.33;-0.5;-3.8;-3.8;0;-0.002;-0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.03332;HERRAMIENTAS MANUALES;111.53;0.4;1;1;0;0;0
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05829;ACCESORIOS DE ILUMINACION;96.04;0;-2.5;-2.5;0;-0.001;-0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.08897;ARTICULOS DE CERRAJERIA;96.71;0.5;0.8;0.8;0;0.001;0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.02039;ACCESORIOS PARA PISCINA Y JARDIN;123.51;1.8;5;5;0;0.001;0.001
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.04901;ACCESORIOS ELECTRICOS;120.46;0.9;6.1;6.1;0;0.003;0.003
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.05671;PILAS;99.92;1.6;4.8;4.8;0.001;0.002;0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.09567;AROMATIZADOR Y DESINFECTANTE AMBIENTAL;118.12;2.7;2;2;0.003;0.002;0.002
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.42635;DETERGENTE PARA ROPA;113.4;0.2;0.9;0.9;0.001;0.004;0.004
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.07845;LAVALOZA;132.73;0.7;5.2;5.2;0.001;0.005;0.005
EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;0.06131;LIMPIADOR DE PISO;98.55;-0.1;1;1;0;0.001;0.001
