Division;Ponderacion;Glosa;Indice;Variación Mensual;Variación Acumulada;Variacion a 12 meses;Incidencia Mensual;Incidencia Acumulada;Incidencia a 12 meses
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.20027;ARROZ;88.18;-0.3;1.4;1.4;0;0.002;0.002
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.11969;HARINA;106.44;-0.1;3.4;3.4;0;0.004;0.004
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.18866;CEREALES;107.41;4.1;4.4;4.4;0.007;0.008;0.008
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;2.18727;PAN;121.7;0.1;4.1;4.1;0.003;0.097;0.097
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.36868;GALLETAS;122.72;0.5;7.3;7.3;0.002;0.028;0.028
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.56223;PRODUCTOS DE REPOSTERIA;117.86;0.3;2;2;0.002;0.012;0.012
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.04391;MASAS SALADAS PREPARADAS;109.49;2.5;2.8;2.8;0.001;0.001;0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.28152;PASTAS;107.67;-0.1;2.7;2.7;0;0.007;0.007
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;1.88889;CARNE DE VACUNO;134.08;-0.2;1.8;1.8;-0.003;0.041;0.041
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.34459;CARNE DE CERDO;138.09;0.8;0.2;0.2;0.004;0.001;0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.07357;CARNE DE PAVO;116.74;-1.1;-5.6;-5.6;-0.001;-0.005;-0.005
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.89182;CARNE DE POLLO;118.47;2.7;3.7;3.7;0.025;0.035;0.035
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.59884;CECINAS;121.73;-1.7;0.9;0.9;-0.011;0.006;0.006
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.2893;EMBUTIDOS;113.15;-3.1;0.9;0.9;-0.009;0.003;0.003
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.04239;HAMBURGUESAS;124.66;1.5;4.1;4.1;0.001;0.002;0.002
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.03374;CARNE DE CORDERO;158.96;-0.5;-5.4;-5.4;0;-0.003;-0.003
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.22814;PESCADOS;135.52;1.9;17.4;17.4;0.005;0.042;0.042
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.08607;MARISCOS;146.57;-0.2;10.3;10.3;0;0.011;0.011
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.14881;PESCADOS EN CONSERVA;118.9;-2.1;5.4;5.4;-0.003;0.008;0.008
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.02466;MARISCOS EN CONSERVA;123.62;1.4;10.8;10.8;0;0.003;0.003
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.29336;LECHE EN POLVO;114.19;1.8;4.9;4.9;0.005;0.014;0.014
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.5284;LECHE LIQUIDA;125.01;0.5;3.1;3.1;0.003;0.018;0.018
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.06971;LECHE CONSERVADA;121.19;-2.1;7.7;7.7;-0.002;0.006;0.006
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.36246;YOGHURT;130.73;1.1;5.3;5.3;0.005;0.022;0.022
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.07353;POSTRES LACTEOS;122.11;-0.5;4.2;4.2;0;0.003;0.003
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.61933;QUESO;127.08;1.2;9.7;9.7;0.008;0.064;0.064
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.31294;HUEVOS;120.55;-0.9;9.1;9.1;-0.003;0.029;0.029
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.09454;MANTEQUILLA;125.37;1.6;6.7;6.7;0.002;0.007;0.007
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.1423;MARGARINA;109.87;1.8;0.3;0.3;0.003;0;0
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.29628;ACEITES VEGETALES;104.75;0.3;-0.7;-0.7;0.001;-0.002;-0.002
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.11564;MANZANA;185.43;6.2;-2.1;-2.1;0.011;-0.004;-0.004
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.109;NARANJA;168.85;10;19.8;19.8;0.015;0.028;0.028
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.02996;PERA;180.85;5.6;4;4;0.003;0.002;0.002
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.12944;PLATANO;145.17;8.7;20.4;20.4;0.014;0.029;0.029
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.34135;FRUTAS DE ESTACION;188.36;9.6;13.6;13.6;0.05;0.071;0.071
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.06849;FRUTOS SECOS;137.15;0.5;7.7;7.7;0;0.006;0.006
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.05662;FRUTAS EN CONSERVA;120.44;1;1.5;1.5;0.001;0.001;0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.04332;ACELGA Y ESPINACA;134;-3.9;3.4;3.4;-0.002;0.002;0.002
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.02411;APIO;172.51;-0.1;27.7;27.7;0;0.008;0.008
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.17879;CEBOLLA Y CEBOLLIN;139.03;-11;1.6;1.6;-0.028;0.004;0.004
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.16119;LECHUGA;143.81;-0.2;0.3;0.3;0;0.001;0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.087;LIMON;196.75;4.4;20.9;20.9;0.006;0.027;0.027
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.24509;PALTA;109.95;-0.2;-2.3;-2.3;0;-0.006;-0.006
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.04145;PIMENTON Y PIMIENTO;159.18;-13.6;1.3;1.3;-0.009;0.001;0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.03388;REPOLLO;165.77;-3.8;27.3;27.3;-0.002;0.011;0.011
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.31687;TOMATE;107.24;-16.3;7.7;7.7;-0.06;0.022;0.022
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.08008;ZANAHORIA;162.36;-2.6;22.8;22.8;-0.003;0.022;0.022
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.09068;ZAPALLO;184.46;3.9;5.3;5.3;0.006;0.008;0.008
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.03258;ZAPALLO ITALIANO;123.4;-34.9;13.2;13.2;-0.019;0.004;0.004
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.37903;VERDURAS DE ESTACION;143.06;2.9;12.2;12.2;0.014;0.054;0.054
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.07314;VERDURAS CONGELADAS;114.78;-1.5;-1.2;-1.2;-0.001;-0.001;-0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.02486;VERDURAS EN CONSERVA;128.39;0.2;2.8;2.8;0;0.001;0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.07612;VERDURAS ENCURTIDAS;129.89;1.5;3.3;3.3;0.001;0.003;0.003
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.10841;LEGUMBRES;127.3;0;9.3;9.3;0;0.011;0.011
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.4595;PAPA;156.62;-25.7;30.5;30.5;-0.224;0.155;0.155
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.02935;PAPAS CONGELADAS Y DESHIDRATADAS;116.3;0.1;5;5;0;0.002;0.002
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.16815;PAPAS FRITAS;117.13;1.5;3.1;3.1;0.003;0.006;0.006
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.25195;AZUCAR;123.49;-1.8;-3.7;-3.7;-0.005;-0.011;-0.011
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.0701;MERMELADA;121.13;-0.6;6.6;6.6;0;0.005;0.005
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.07539;MANJAR Y DULCES UNTABLES;116.26;0.4;-1.2;-1.2;0;-0.001;-0.001
ALIMENTOS Y BEBIDAS NO ALCOHOLICAS;0.12925;CARAMELOS Y GOMA DE MASCAR;122.65;0.2;3.5;3.5;0;0.005;0.005
